pair_id,r_case_number,c_case_number,r_company_name,c_company_name,r_state,r_city,c_state,c_city,r_date_filed,r_date_closed,c_date_filed,label,notes
136,13-RC-019088,13-CA-033257,"TRANSYSTEMS SERVICE, INC.","TRANSYSTEM SERVICE, INC.",IN,EAST CHICAGO,IN,EAST CHICAGO,23/02/1995,10/02/1997,23/03/1995,match,
137,31-RC-006814,31-CA-018971,CALIFORNIA ARCHITECTURAL MILLWORKS CORP.,CALIFORNIA MILLWORKS CORPORATION,CA,PACOIMA,CA,PACOIMA,03/05/1991,11/08/1992,25/07/1991,match,
138,01-RC-018602,01-CA-023444,"LINCOLN NURSING HOME, BROAD REACH HEALTH SERVICES",LINCOLN NURSING HOME/BROAD REACH HEALTH S,MA,WORCESTER,MA,WORCESTER,24/09/1985,30/12/1988,23/12/1985,match,
139,22-RC-011817,22-CA-023760,"Pet Co., Industries           ",Petco Industries,NJ,Dayton,NJ,Dayton,04/10/1999,28/07/2000,06/01/2000,unclear,
140,21-RC-020784,21-CA-036691,United Export Trading Associat,United Export Trading Association Inc. (UETA),CA,Chula Vista,CA,Chula Vista,28/12/2004,07/02/2005,24/01/2005,match,
141,28-RC-006299,28-CA-019603,Recreation Centers of Sun City,Recreation Centers of Sun City West,AZ,Sun City West,AZ,Sun City West,14/07/2004,03/09/2004,19/08/2004,match,
142,13-RC-020709,13-CA-040027,"El Conejo Bus Lines, Inc.     ",El Conejo,IL,Chicago,IL,Chicago,07/01/2002,23/04/2002,27/02/2002,match,
143,29-RC-007854,29-CA-015913,NATIONAL MANAGEMENT CONSUL.,"NATIONAL MANAGEMENT CONSULTANTS, INC.",NY,BROOKLYN,NY,BROOKLYN,10/07/1991,21/10/1991,13/08/1991,match,
144,10-RC-014113,10-CA-025329,HARMAN AUTOMOTIVE INDUSTRIES,"HARVARD INDUSTRIES, INC.; HARMAN AUTOMOTI",TN,SEVIERVILLE,TN,SEVIERVILLE,18/04/1991,25/06/1991,23/05/1991,match,
145,26-RC-008239,26-CA-020132,"S W Manufacturing, Inc        ","SW Manufacturing, Inc.",TN,Smithville,TN,Smithville,01/02/2001,26/03/2001,28/02/2001,match,
146,32-RC-005152,32-CA-021114,BCI Coca-Cola Bottling Company,Coca Cola Bottling Company,CA,Union City,CA,Union City,09/05/2003,22/07/2004,17/12/2003,match,
147,20-RC-016979,20-CA-025649,Raleys #453,Raley's and/or each of its stores,CA,West Sacramento,CA,West Sacramento,01/10/1993,21/02/2007,04/10/1993,match,
148,32-RC-002123,32-CA-007189,"CIRCO RESORTS, INC., D/B/A CIRCUS-CIRCUS","CIRCUS CIRCUS, INC.",NV,RENO,NV,RENO,05/03/1985,15/05/1985,05/04/1985,match,
149,31-RC-008744,31-CA-029409,Crothall/Tarzana Medical Cente,Tarzana Medical Center,CA,Tarzana,CA,Tarzana,23/02/2009,20/04/2010,04/09/2009,match,
150,15-RC-007778,15-CA-012236,TEMPS-R-US,TEMPS-R-US/WASTE MANAGEMENT,MS,JACKSON,MS,JACKSON,21/06/1993,29/07/1993,29/07/1993,match,
151,16-RC-009049,16-CA-013610,"BAYOU CONTRACTING, INC.",BAYOU CONSTRUCTION COMPANY,TX,BEAUMONT,TX,BEAUMONT,08/06/1988,20/07/1988,22/06/1988,match,
152,22-RC-011805,22-CA-023637,"Ridge Services, Inc.          ",Ridge Service Inc.,NJ,Dayton,NJ,Dayton,09/09/1999,06/12/1999,26/10/1999,match,
153,25-RC-009219,25-CA-022501,"Dilling Mechanical Contractors, Inc. and  Dilling Electrical Contractors, Inc.","Dilling Mechanical Contractors, Inc.",IN,Logansport,IN,Logansport,13/01/1993,04/12/2001,03/05/1993,match,
154,28-RC-004102,28-CA-008004,SUB-ZERO FREEZER COMPANY INC.,SUB ZERO FREEZER COMPANY,AZ,PHOENIX,AZ,PHOENIX,08/04/1982,01/03/1985,28/01/1985,match,
155,02-RC-135856,02-CA-137122,Mount Sinai Hospital,Mt. Sinai Hospital,NY,New York,NY,New York,03/09/2014,16/10/2014,19/09/2014,match,
156,29-RC-009230,29-CA-022719,"TKO Fleet Enterprises, Inc., d/b/a Executive Cars",TKO FLEET ENTERPRISES,NY,Long Island City,NY,LONG ISLAND CIT,07/04/1999,04/05/1999,29/04/1999,match,
157,07-RC-022534,07-CA-046637,"Bakery one, LLC, Zeman's New York Bakery","Bakery One, L.L.C., Zeman's New York Bakery",MI,Oak Park,MI,Oak Park,03/09/2003,12/12/2003,17/09/2003,match,
158,04-RC-154040,04-CA-157968,"Compass Group USA, Inc. d/b/a Crothall Healthcare, Inc.",Crothall Healthcare,PA,Allentown,PA,Allentown,12/06/2015,07/10/2015,13/08/2015,match,
159,06-RC-010296,06-CA-022020,ASHLEY'S FUR ROOT & SALVAGE CO; DBA NILES ASHLEY,"ASHLEY FUR, ROOT & SALVAGE CO.",WV,MINERAL WELLS,WV,MINERAL WELLS,10/08/1989,10/10/1989,18/08/1989,match,
160,21-RC-021112,31-CA-029182,"Western States Postal Service, Inc.","United States Postal Service, Los Angeles, CA",CA,Los Angeles,CA,Los Angeles,20/02/2009,10/09/2009,02/04/2009,match,
161,01-RC-019715,01-CA-029046,KELLAWAY TRANSPORTATION & WAREHOUSE,"KELLAWAY TRNASPORTATION WAREHOUSE, INC.",RI,PAWTUCKET,RI,PAWTUCKET,03/09/1991,17/07/1992,22/01/1992,match,
162,08-RC-013657,08-CA-020272,MANOR HEALTHCARE CORP.,MANOR CARE NURSING CENTER,OH,MAYFIELD HTS.,OH,MAYFIELD HTS.,24/06/1987,24/09/1987,28/07/1987,match,
163,17-RC-009567,17-CA-012006,CONLEY-DETLEFSEN RESTAURANT,CONLEY DETLEFSON RESTAURANT,NE,NORTH PLATTE,NE,NORTH PLATTE,19/12/1983,29/03/1984,23/01/1984,match,
164,29-RC-007853,29-CA-015917,NATIONAL MANAGEMENT CONSUL.,"NATIONAL MANAGEMENT CONSULTANTS,INC. (MED",NY,BROOKLYN,NY,BROOKLYN,10/07/1991,27/08/1991,14/08/1991,match,
165,08-RC-014723,08-CA-024558,"GLADIEUX, V.",FRESH EXPRESS/V. GLADIEUX ENTERPRISES,OH,TOLEDO,OH,TOLEDO,04/05/1992,28/05/1992,04/05/1992,match,
166,31-RC-005728,31-CA-015830,SUPERIOR INDUSTRIES INTERNATIONAL INC.,SUPERIOR INDUSTRIES,CA,VAN NUYS,CA,VAN NUYS,23/07/1984,21/05/1987,27/05/1986,match,
167,17-RC-008929,17-CA-009441,"HALLIBURTON SERVICES, DIV. OF HALLIBURTON","HALLIBURTON SERVICES, DIVISION OF HALLIBURTON",KS,COFFEYVILLE,KS,COFFEYVILLE,03/12/1979,12/06/1984,06/02/1980,match,
168,02-RC-161818,02-CA-162593,The Mount Sinai Hospital,Mt. Sinai Hospital,NY,New York,NY,New York,14/10/2015,16/11/2015,22/10/2015,match,
169,25-RC-010385,25-CA-030277,KELLY BOX PACKAGING CORPORATIO,KELLY BOX PACKAGING CORPORATION,IN,Ft. Wayne,IN,FT.WAYNE,16/02/2007,10/04/2007,12/03/2007,match,
170,33-RC-004073,33-CA-012070,"FERRELLGAS, L.P.","FERRELLGAS, INC.",IL,MACHESNEY PARK,IL,MACHESNEY PARK,24/05/1996,29/01/1997,23/01/1997,match,
171,12-RC-006459,12-CA-011114,HILTON,ILTON,FL,LK BUENA VISTA,FL,LK. BUENA VISTA,06/02/1984,06/07/1984,19/03/1984,match,
172,23-RC-005370,16-CA-013610,"BAYOU CONTRACTING, INC.",BAYOU CONSTRUCTION COMPANY,TX,BEAUMONT,TX,BEAUMONT,30/03/1988,02/11/1988,22/06/1988,match,
173,27-RC-005914,27-CA-007768,ST. ANTHONY HOSPITAL SYSTEMS,ST. ANTHONY'S HOSPITAL SYSTEMS,CO,DENVER,CO,DENVER,04/09/1979,24/09/1985,18/03/1982,match,
174,19-RC-014263,19-CA-028120,Core-Mark International,Core-Mark Intl,WA,Tacoma,WA,Tacoma,29/05/2002,08/07/2002,02/07/2002,match,
175,36-RC-005537,19-CA-023214,"LAMB-WESTON, INC. (HERMISTON)","LAMB-WESTON, INC.",OR,HERMISTON,OR,HERMISTON,13/10/1993,31/05/1994,17/02/1994,match,
176,06-RC-009877,06-CA-020301,"MENARD FIBERGLASS PRODUCTS, INC.",MENARD FIBERGLASS PRODUCTS &/OR PENN LUMBER &/OR B,PA,EAST CLEARFIELD,PA,E. CLEARFIELD,22/06/1987,16/02/1989,09/09/1987,match,
177,08-RC-016062,08-CA-031601,"College Park, Inc. d/b/a College Park Nursing and Rehabilitation Center",College Park Nursing & Rehabilitation Center,OH,Coshocton,OH,Coshocton,15/05/2000,21/07/2000,19/05/2000,match,
178,10-RC-013206,10-CA-021338,ATLANTA DARIES COOPERATIVE,ATLANTA DAIRIES,GA,ATLANTA,GA,ATLANTA,12/09/1985,09/04/1987,13/11/1985,match,
179,29-RC-007918,29-CA-016149,"1 KNITTING MILLS, INC.",N Z KNITTING MILLS INC.,NY,BROOKLYN,NY,BROOKLYN,25/11/1991,02/06/1992,26/11/1991,match,
180,04-RC-016915,04-CA-018149,ODD FELLOWS' CEMETARY COMPANY OF PHILADELPHIA,ODD FELLOWS' CEMETERY COMPANY OF PHILA.,PA,ROCKLEDGE,PA,ROCKLEDGE,14/11/1988,01/02/1990,19/06/1989,match,
181,09-RC-014441,09-CA-020750,"OPTI-GAGE, INC.; QUALITY CIRCUITS, DIVISION OF","OPTI-GAGE, INC.",OH,DAYTON,OH,DAYTON,22/02/1984,14/05/1984,19/03/1984,match,
182,07-RC-061940,07-CA-062112,Durand Senior Care and Rehab Center,Durand Senior and Rehab Center,MI,Durand,MI,Durand,01/08/2011,19/09/2011,05/08/2011,match,
183,10-RC-015116,10-CA-032895,Multicraft International Limit,Multicraft International Limited Partnership,AL,Cottondale,AL,Cottondale,10/03/2000,16/03/2001,12/02/2001,match,
184,21-RC-019166,21-CA-029204,CSI/REEVES,C.D.I. REEVES,CA,BUENA PARK,CA,BUENA PARK,28/01/1993,04/04/1994,12/02/1993,match,
185,10-RC-014618,10-CA-028479,GES EXPOSITION SERVICES,"GREYHOUND EXPOSITION SERVICES, INC.",GA,ATLANTA,GA,ATLANTA,10/05/1995,18/04/1996,24/05/1995,match,
186,10-RC-015380,10-CA-034474,Concrete Walls Inc.           ,Concrete Form Walls,AL,Birmingham,AL,Birmingham,03/06/2003,06/08/2003,30/06/2003,unclear,
187,31-RC-008051,32-CA-019138,Safeway Stores                ,"Safeway, Inc.",CA,Pleasanton,CA,Pleasanton,21/09/2001,30/11/2001,27/09/2001,match,
188,28-RC-069491,28-CA-097835,"Caesar's Entertainment, Inc.",Caesars Entertainment Corp. d/b/a Caesars Palace,NV,Las Vegas,NV,LAS VEGAS,23/11/2011,13/02/2014,06/02/2013,match,
189,31-RC-006149,31-CA-016421,CALIFORNIA STATE DEVELOPMENT HEALTH SERVICES,SO. CALIFORNIA DEVELOPMENTAL HEALTH SERVI,CA,CAMARILLO,CA,CAMARILLO,19/02/1987,11/08/1987,23/03/1987,match,
190,10-RC-015288,10-CA-033691,Carither Wallace Courtnay     ,Carithers Wallace Courtnay,GA,Atlanta,GA,Atlanta,15/04/2002,04/06/2002,24/04/2002,match,
191,32-RC-004580,32-CA-017271,"New Star Fresh Food, LLC","New Star Fresh Foods, LLC",CA,Salinas,CA,Salinas,10/02/1999,03/05/1999,24/02/1999,match,
192,26-RC-007290,26-CA-013981,"TRICIL ENVIRONMENTAL MANAGEMENT, INC.","LAIDLAW ENVIRONMENTAL MANAGEMENT, INC./TRICIL ENVI",TN,MILLINGTON,TN,MILLINGTON,25/06/1990,27/04/1993,06/08/1990,match,
193,16-RC-010242,16-CA-020904,"Pat Salmon & Sons, Texas Mail,",Pat Salmon & Sons el. al.,TX,Dallas,TX,Dallas,30/06/2000,28/05/2001,05/02/2001,match,
194,03-RC-011741,03-CA-026152,"Fluor Industrial Services, a w",Fluor Industrial Services,NY,Hpewell Junction,NY,Hopewell Junction,08/01/2007,06/07/2007,19/01/2007,match,
195,21-RC-019572,21-CA-031077,CONWAY WESTERN EXPRESS,CON-WAY WESTERN EXPRESS,CA,LOS ANGELES,CA,LOS ANGELES,18/10/1995,03/07/1996,14/12/1995,match,
196,33-RC-005104,33-CA-015725,JMARKK Equipment Inc.         ,"JMarkk Equipment, Inc. d/b/a Bobcat of Springfield",IL,Springfield,IL,Springfield,02/10/2008,17/11/2008,13/11/2008,match,
197,08-RC-012385,08-CA-016071,ECONOMIC OPPORTUNITY PLANNING COMMISSION,ECONOMIC OPPORTUNITY PLANNING ASSOCIATION,OH,TOLEDO,OH,TOLEDO,26/01/1981,12/12/1986,15/09/1982,match,
198,08-RC-016070,08-CA-035371,"Solartec, Inc.","Solartec, Inc. and Sekely Industries, Inc. A Single Employer",OH,Salem,OH,Salem,25/05/2000,19/05/2009,20/10/2004,match,
199,31-RC-006888,31-CA-019401,BELRDIGE PACKING COMPANY,BELRIDGE PACKING CO.,CA,BAKERSFIELD,CA,BAKERSFIELD,13/11/1991,19/08/1992,27/05/1992,match,
200,22-RC-013206,22-CA-029819,Plaza Healthcare and Rehabilitation Center,Plaza Rehabilitation Nursing Center,NJ,Elizabeth,NJ,Elizabeth,25/01/2011,31/12/2011,31/01/2011,match,
201,32-RC-122794,32-CA-138929,"Taylor Farms Pacific, Inc.","Taylor Farms Pacific, Inc./Abel Mendoza, Inc./SlingShot Connectins, LLC",CA,Tracy,CA,Tracy,19/02/2014,18/05/2016,16/10/2014,match,
202,04-RC-014652,04-CA-012250,KEYSTONE LAMP MANUFACTURING CORP.,KEYSTONE MANUFACTURING CORP.,PA,SLATINGTON,PA,SLATINGTON,06/04/1981,02/03/1990,31/07/1981,match,
203,21-RC-019585,21-CA-031213,D & D BAKERY DISTRIBUTOR,D & D DISTRIBUTOR,CA,WILMINGTON,CA,WILMINGTON,30/11/1995,30/09/1996,07/03/1996,match,
204,01-RC-019425,01-CA-027465,APV GAULIN INC.,A.P.V. GAVLIN INC.,MA,WILMINGTON,MA,WILMINGTON,17/05/1990,24/07/1990,10/07/1990,match,
205,02-RC-019643,02-CA-020045,FANSY PRODUCTS  INC,FAN-SY PRODUCTION INC.,NY,NEW YORK,NY,NEW YORK,20/10/1983,04/01/1984,28/11/1983,match,
206,24-RC-007308,24-CA-006131,QUALITY HEALTH SERVICES DBA HOSP. SAN CRISTOBAL,HOSPITAL SAN CRISTOBAL,PR,PONCE,PR,PONCE,13/03/1990,25/04/1990,20/04/1990,match,
207,16-RC-008844,16-CA-012495,"COUNTRY BOY; MR. ""D"" CORP. ET AL",COUNTRY BOY MARKETS (MR. D CORP),OK,MIDWEST CITY,OK,MIDWEST CITY,11/12/1984,12/01/1988,14/02/1986,match,
208,21-RC-286256,21-CA-288794,Keck Medicine of USC,Keck Hospital of USC,CA,Alhambra,CA,Alhambra,15/11/2021,01/06/2022,11/01/2022,match,
209,21-RC-019221,21-CA-031590,"CAL SPAS; G.B. MANUFACTURING, INC.",CAL SPAS; G.B.,CA,POMONA,CA,POMONA,28/05/1993,29/03/1999,26/09/1996,match,
210,30-RC-005728,30-CA-013092,LAPHAM-HICKEY STEEL CORP.,LAPHAM-HICKEY,WI,OSHKOSH,WI,OSHKOSH,15/09/1995,13/11/1995,25/10/1995,match,
211,32-RC-002508,32-CA-008891,OAKLAND AIRPORT HYATT HOTEL,HYATT AT OAKLAND INTERNATIONAL,CA,OAKLAND,CA,OAKLAND,03/03/1987,30/04/1987,30/04/1987,match,
212,12-RC-007659,12-CA-015964,HILLHAVEN CONV. CENTER,HILLHAVEN CONV. CTR.,FL,DELRAY BEACH,FL,DELRAY BEACH,21/09/1993,11/03/1997,22/12/1993,match,
213,04-RC-021437,04-CA-036232,Angela Jane Pavilion Subacute ,Angela Jane Pavillion,PA,Philadelphia,PA,Philadelphia,01/05/2008,14/04/2009,09/07/2008,match,
214,31-RC-153341,31-CA-161884,P & R Paper Supply Company,"P&R Paper Supply Company, Inc.",CA,Redlands,CA,Redlands,02/06/2015,02/11/2015,13/10/2015,match,
215,08-RC-013777,08-CA-020722,WESTERN RESERVE CARE SYSTEM,"WESTERN RESERVE CARE SYSTEM (YHA, INC.)",OH,YOUNGSTOWN,OH,YOUNGSTOWN,02/02/1988,22/02/1988,04/02/1988,match,
216,21-RC-021112,31-CA-029204,"Western States Postal Service, Inc.",USPS-LAX-ISC,CA,Los Angeles,CA,Los Angeles,20/02/2009,10/09/2009,20/04/2009,match,
217,10-RC-218970,10-CA-219005,"Durham School Services, LLC","Durham School Services, L.P.",TN,Chattanooga,TN,Chattanooga,24/04/2018,29/05/2018,24/04/2018,match,
218,31-RC-153341,31-CA-157563,P & R Paper Supply Company,P&R Paper Supply Company Inc.,CA,Redlands,CA,Redlands,02/06/2015,02/11/2015,05/08/2015,match,
219,05-RC-015467,12-CA-022513,"Wackenhut Services, Inc.      ",The Wackenhut Corporation,FL,Palm Beach Gardens,FL,Palm Beach Gardens,27/09/2002,18/11/2002,30/09/2002,match,
220,13-RC-021120,13-CA-041613,Archer-American Wire          ,Archer Wire International Corporation,IL,Bedford Park,IL,Bedford Park,17/11/2003,26/02/2004,09/01/2004,match,
221,18-RC-015768,14-CA-024004,Overnite Transportation Compan,Overnight Transportation Company,MO,St. Louis,MO,St. Louis,18/01/1995,10/11/1999,21/03/1996,match,
222,01-RC-236818,01-CA-238316,"Rhode Island LFG Genco, LLC","RI LFG Genco, LLC/ Broadrock Renewables, LLC",RI,Johnston,RI,Johnston,28/02/2019,01/04/2019,22/03/2019,match,
223,17-RC-009655,17-CA-012605,SCHURPACK  INC.,SCHUR PACK,MO,ST. JOSEPH,MO,ST. JOSEPH,11/10/1984,27/06/1985,24/05/1985,match,
224,13-RC-020130,13-CA-037845,"Jay Medi-Car, Inc.","Jay Medicar, Inc.",IL,Chicago,IL,Chicago,13/05/1999,30/06/1999,27/05/1999,match,
225,29-RC-011285,11-CA-021052,Securitas Security Services In,"Securitas Security Services USA, Inc.",IL,Chicago,IL,Chicago,03/01/2006,20/03/2006,20/01/2006,match,
226,19-RC-014429,19-CA-029053,Barron Heating & Air Condition,Barron Heating and A/C,WA,Bellingham,WA,Bellingham,18/07/2003,23/05/2005,15/12/2003,match,
227,25-RC-010523,25-CA-031855,Garda World Security Corporation d/b/a Garda CL Atlantic Inc.,Garda Cash Logistics,IN,Indianapolis,IN,Indianapolis,13/05/2011,01/07/2011,18/05/2011,match,
228,17-RC-010602,17-CA-015338,MODERN INVESTMENT CASTING COMPANY & L&L EQUIPMENT,L&L EQUIPMENT & MODERN INVESTMENT CASTINGS CO.,OK,PONCA CITY,OK,PONCA CITY,03/12/1990,20/05/1991,07/12/1990,match,
229,27-RC-008353,27-CA-019402,"C&D Insulation, Inc.          ",C & D Insulation,CO,Larkspur,CO,Larkspur,22/10/2004,25/04/2005,06/12/2004,match,
230,31-RC-008798,31-CA-029684,American Medical Response,American Medical Response / EMSC,CA,Rancho Cucamonga,CA,Rancho Cucamonga,01/03/2010,21/04/2010,15/04/2010,match,
231,05-RC-015739,05-CA-032181,Tapp Express                  ,Tap Express,VA,Virginia Beach,VA,Virginia Beach,22/06/2004,13/01/2005,14/10/2004,match,
232,10-RC-014427,10-CA-027024,EUROPEAN BAKERIES,FLOWERS INDUSTRIES D/B/A EUROPEAN BAKERS [IOP],GA,TUCKER,GA,TUCKER,13/09/1993,15/11/1993,22/09/1993,match,
233,34-RC-000537,39-CA-002335,VALU-WAREHOOUSE  FOODS,VALU - WAREHOUSE FOODS,CT,STRATFORD,CT,STRATFORD,10/07/1984,30/10/1984,12/09/1984,match,
234,33-RC-004306,33-CA-012849,AGGREGATE EQUIPMENT & SUPPLY,"BET Services, Inc. d/b/a Aggregate Equipment & Supply, Inc.",IL,East Peoria,IL,East Peoria,08/06/1998,22/02/2002,08/12/1998,match,
235,32-RC-005443,32-CA-022861,Pacific Coast M.S. Industries ,Pacific Coast Industries,CA,Tracy,CA,Tracy,20/06/2006,09/11/2010,26/09/2006,match,
236,12-RC-009412,12-CA-026899,"Medics Ambulance Service of Dade, Inc.",Medics Amulance Service,FL,Miami,FL,Miami,21/05/2010,13/01/2011,07/10/2010,match,
237,20-RC-254327,20-CA-254882,The Queen's Medical Center,Queens Medical Center - Punchbowl,HI,Honolulu,HI,Honolulu,08/01/2020,11/02/2020,21/01/2020,match,
238,05-RC-013424,05-CA-021163,WASHINGTON HILTON HOTEL,CROWN HOTELS (WASHINGTON) INC,DC,WASHINGTON,DC,WASHINGTON,27/04/1990,07/05/1990,07/05/1990,no_match,
239,31-RC-226424,31-CA-227045,Universal Televison Productions LLC,Universal Studios LLP,CA,Universal City,CA,Universal City,28/08/2018,30/01/2019,07/09/2018,match,
240,04-RC-017676,04-CA-020079,TRUMP PLAZA,TRUMP PLAZA ASSOCIATION D/B/A/ TRUMP PLAZA HOTEL,NJ,ATLANTIC CITY,NJ,ATLANTIC CITY,17/07/1991,03/06/1994,17/09/1991,match,
241,15-RC-007632,15-CA-011663,TAPCO SOUTH,"TAP SOUTH, INC.",AL,MONTGOMERY,AL,MONTGOMERY,30/08/1991,24/10/1991,23/10/1991,unclear,
242,14-RC-012366,14-CA-027008,"Midwest ATC Service, Inc.     ","Midwest Air Traffic Control Service, Inc.",IL,Murphysboro,IL,Murphysboro,13/06/2002,02/08/2002,08/07/2002,match,
243,31-RC-005883,31-CA-015358,VALLEY FOOD DISTRIBUTORS OF NEVADA,VALLEY FOOD DISRIBUTORS OF NEVADA,NV,LAS VEGAS,NV,LAS VEGAS,07/05/1985,24/01/1986,17/10/1985,match,
244,17-RC-009671,17-CA-012434,TOWN AND COUNTRY  SUPER MARKET,TOWN & COUNTRY SUPERMARKET,MO,CARL  JUNCTION,MO,CARL  JUNCTION,23/11/1984,06/05/1985,14/12/1984,match,
245,18-RC-013406,18-CA-008210,MEADOW LANE HEALTH CARE CTR-BEVERLY ENTERPRISES,"BEVERLY ENTERPRISES, INC. D/B/A MEADOW LANE HEALTH",MN,BENSON,MN,BENSON,03/03/1983,05/10/1983,11/05/1983,match,
246,07-RC-020471,07-CA-036620,R.S. INSULATION,"R. S. INSULATION, INC.",MI,KALAMAZOO,MI,KALAMAZOO,27/10/1994,19/12/1994,28/11/1994,match,
247,14-RC-009921,14-CA-017761,BRECKENRIDGE KING'S INN,BRECKENRIDGE HOTEL CORPORATION  D/B/A KING'S INN,MO,ST. LOUIS,MO,ST. LOUIS,06/12/1984,29/01/1985,06/12/1984,match,
248,06-RC-009360,06-CA-016918,G.C. SERVICES CORPORATION,G. C. SERVICES CORPORATION,PA,PITTSBURGH,PA,PITTSBURGH,03/05/1983,16/02/1984,17/11/1983,match,
249,10-RC-013206,10-CA-021334,ATLANTA DARIES COOPERATIVE,ATLANTA DAIRIES,GA,ATLANTA,GA,ATLANTA,12/09/1985,09/04/1987,12/11/1985,match,
250,27-RC-005914,27-CA-007640,ST. ANTHONY HOSPITAL SYSTEMS,ST. ANTHONY'S HOSPITAL SYSTEMS,CO,DENVER,CO,DENVER,04/09/1979,24/09/1985,02/12/1981,match,
